# This file was produced by samtools stats (1.13+htslib-1.13+ds) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats aligned_sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	d0054b5c	2d000126	05aff4bf
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2602652	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2602652
SN	is sorted:	1
SN	1st fragments:	1301326
SN	last fragments:	1301326
SN	reads mapped:	2455057
SN	reads mapped and paired:	2437740	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	147595
SN	reads properly paired:	2375808	# proper-pair bit set
SN	reads paired:	2602652	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	45640	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	20932
SN	total length:	372036560	# ignores clipping
SN	total first fragment length:	186018280	# ignores clipping
SN	total last fragment length:	186018280	# ignores clipping
SN	bases mapped:	351141420	# ignores clipping
SN	bases mapped (cigar):	348357880	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	3180980	# from NM fields
SN	error rate:	9.131356e-03	# mismatches / bases mapped (cigar)
SN	average length:	142
SN	average first fragment length:	143
SN	average last fragment length:	143
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	34.3
SN	insert size average:	705.5
SN	insert size standard deviation:	1025.7
SN	inward oriented pairs:	1119888
SN	outward oriented pairs:	79710
SN	pairs with other orientation:	19272
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	91.3
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	336	0	0	0	0	0	0	0	403	0	0	0	0	0	1670	0	0	24	0	0	38	739	0	3293	1928	2981	8063	0	27645	276969	0	157881	819356	0	0	0	0	0	0	0	0
FFQ	2	0	0	52	0	0	0	0	0	0	0	234	0	0	0	0	0	1022	0	0	77	0	0	154	555	0	1483	1863	3847	4382	0	21524	235181	0	116595	914357	0	0	0	0	0	0	0	0
FFQ	3	0	0	1	0	0	0	0	0	0	0	112	0	0	0	0	0	434	0	0	13	0	0	148	369	0	811	1494	3538	2897	0	17246	216466	0	96103	961694	0	0	0	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	132	0	0	154	0	0	113	0	0	359	604	57	997	11	2241	106	4002	7792	0	137339	0	1147318	0	0	0	0	0
FFQ	5	0	0	8	0	0	0	0	0	0	0	194	0	0	0	0	0	274	0	0	209	0	0	224	0	0	570	1045	74	1531	10	3371	178	5502	9780	0	132564	0	1145792	0	0	0	0	0
FFQ	6	0	0	68	0	0	0	0	0	74	0	272	108	0	0	0	38	90	190	122	181	0	44	19	314	0	703	907	208	753	727	3216	874	6326	7956	0	108758	14178	1155200	0	0	0	0	0
FFQ	7	0	0	3	0	0	0	0	0	46	0	131	50	0	0	0	40	90	344	131	150	0	59	28	339	0	808	1036	279	913	816	3655	846	7377	9019	0	113222	15293	1146651	0	0	0	0	0
FFQ	8	0	0	0	0	0	0	0	0	58	0	204	70	0	0	0	48	88	282	110	151	0	64	31	372	0	811	1097	392	764	842	3822	826	7563	8910	0	113995	14846	1145980	0	0	0	0	0
FFQ	9	0	0	0	0	0	0	0	0	50	0	155	48	0	0	0	44	103	258	147	135	0	44	29	400	0	915	382	1275	745	885	3985	739	6766	7394	3477	32376	36	77103	93848	1069987	0	0	0
FFQ	10	0	0	0	0	0	1	1	0	58	0	148	64	0	2	0	53	111	244	138	117	0	76	35	389	2	943	409	1471	578	821	4016	859	7101	7069	4085	32802	35	80492	92384	1066822	0	0	0
FFQ	11	0	0	0	0	0	0	0	0	74	0	159	39	0	0	0	73	140	244	138	125	1	96	42	418	3	945	421	1534	341	793	3902	1008	6976	6752	3647	33007	21	79594	99183	1061650	0	0	0
FFQ	12	0	0	0	0	0	0	1	1	151	0	314	88	0	0	0	104	194	260	201	166	5	137	45	530	7	1060	432	1994	246	909	4334	1036	7737	7142	3944	34627	28	82330	99596	1053707	0	0	0
FFQ	13	0	0	0	0	0	0	1	1	91	2	195	32	0	1	0	116	168	255	143	136	6	129	61	517	14	1040	454	1912	202	962	4554	1119	7902	7148	4080	35290	24	84161	102374	1048236	0	0	0
FFQ	14	0	0	0	0	0	0	4	3	100	5	185	34	2	0	3	27	238	269	186	136	11	139	54	308	195	1133	460	1990	209	982	1855	3489	4318	8129	4615	6097	20269	18333	77242	61544	260867	827895	0
